divesite,country,region,location,X,Y
East Point,United States,Santa Barbara,Santa Rosa Island,-119.9729,33.94046667
Cape Cortes,United States,LA County,Catalina Island,-118.5348667,33.42971667
Ribbon Rock,United States,LA County,Catalina Island,-118.5705,33.43848333
Stony Point,United States,LA County,Catalina Island,-118.55415,33.47476667
Crane Point,United States,LA County,Catalina Island,-118.4685167,33.4425
Moonstone Cove,United States,LA County,Catalina Island,-118.3651167,33.38913333
Pirate s Cove,United States,LA County,Catalina Island,-118.3676667,33.40461667
Wilson Cove,United States,LA County,San Clemente Island,-118.5559333,33.00695
Talcott Shoal,United States,Santa Barbara,Santa Rosa Island,-120.2346667,34.02645
Frog Rock,United States,LA County,Catalina Island,-118.3324833,33.35986667
Gallagher Beach,United States,LA County,Catalina Island,-118.34845,33.37166667
Iron Bound Cove,United States,LA County,Catalina Island,-118.5744333,33.4465
Wyckoff Ledge,United States,Santa Barbara,San Miguel Island,-120.3894167,34.02125
Lions Head,United States,LA County,Catalina Island,-118.50155,33.45366667
Eel Cove,United States,LA County,Catalina Island,-118.5115,33.45636667
Big Geiger Cove,United States,LA County,Catalina Island,-118.5172333,33.45968333
Arrow Point,United States,LA County,Catalina Island,-118.5368333,33.47651667
Johnsons Rock,United States,LA County,Catalina Island,-118.5892333,33.47688333
Black Point,United States,LA County,Catalina Island,-118.5803333,33.47573333
Eagle Rock,United States,LA County,Catalina Island,-118.6048167,33.47176667
Shag Rock,United States,LA County,Santa Barbara Island,-119.0353667,33.48663333
Fishermans Cove,United States,LA County,Catalina Island,-118.4851833,33.44495
Tajiguas,United States,California,Santa Barbara,-120.1005435,34.46355068
Rat Rock,United States,Santa Barbara,Anacapa Island,-119.4453657,34.01282694
Landing cove,United States,Santa Barbara,Anacapa Island,-119.3620133,34.01702446
Biltmore,United States,California,Santa Barbara,-119.6422935,34.41623891
Monastery Beach,United States,California,Monterrey,-121.9271708,36.52401861
Lover s Point,United States,California,Monterrey,-121.9165385,36.62636883
Salt Point State Park,United States,California,Sonoma,-123.3300358,38.56695429
Ocean Cove,United States,California,Sonoma,-123.3043671,38.5552973
Stillwater Cove,United States,California,Sonoma,-123.2977527,38.54690259
Fort Ross,United States,California,Sonoma,-123.2363892,38.50903661
Osborn Bank,United States,LA County,Santa Barbara Island,-119.0420833,33.3599
Bull City,United States,LA County,San Nicolas Island,-119.60505,33.27206667
Nine Fathom Bank,United States,LA County,San Clemente Island,-119.2157667,32.47885
Tanner Bank,United States,LA County,San Clemente Island,-119.1348167,32.70081667
Willow Cove,United States,LA County,Catalina Island,-118.3554833,33.37786667
Arch Reef,United States,LA County,Santa Barbara Island,-119.0626333,33.48921667
The Rookery,United States,LA County,Santa Barbara Island,-119.0300667,33.47098333
Cat Canyon,United States,LA County,Santa Barbara Island,-119.0352833,33.465
Ben Weston Point,United States,LA County,Catalina Island,-118.4888,33.3568
Sentinel Point,United States,LA County,Catalina Island,-118.4855333,33.37318333
Binnacle Rock,United States,LA County,Catalina Island,-118.3336667,33.30033333
Seal Rocks,United States,LA County,Catalina Island,-118.3058333,33.30733333
Rock Quarry,United States,LA County,Catalina Island,-118.4625,33.44095
Sea Fan Grottos,United States,LA County,Catalina Island,-118.4720167,33.44241667
Begg Rock,United States,LA County,San Nicolas Island,-119.6978833,33.36251667
Wilson Rock,United States,Santa Barbara,San Miguel Island,-120.3966167,34.10563333
Castle Rock,United States,Santa Barbara,San Miguel Island,-120.4359,34.05571667
Point Bennett,United States,Santa Barbara,San Miguel Island,-120.4505333,34.03141667
Yellowtail Point,United States,LA County,Catalina Island,-118.4483333,33.43313333
Seal Point,United States,LA County,Catalina Island,-118.4201167,33.42745
Rippers Cove,United States,LA County,Catalina Island,-118.4344333,33.42693333
Kelp Point,United States,LA County,Catalina Island,-118.5388333,33.43375
