divesite,location,country,latitude,longitude,desc
Koh Tae Nok,,Thailand,99.94674683,9.704319361,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Koh_Te_Nok
Haad Yao,,Thailand,99.96461034,9.775483651,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Haad_Yao
Haad Salad,,Thailand,99.97092962,9.786733197,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Haad_Salad
Home Run Reef,,Thailand,98.37972222,7.609722222,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Home_Run_Reef
Stonehenge,,Thailand,99.33460236,6.481455195,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Lipe_and_the_Butang_Islands/Stonehenge
Koh Rang,,Thailand,102.3911111,11.80555556,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/Koh_Rang
Cheow Lan Lake,,Thailand,98.71,9.011388889,https://www.wannadive.net/spot/Asia/Thailand/Cheow_Lan_Lake
Anita s reef,,Thailand,97.64722222,8.571666667,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Anita_s_reef
West of Eden,,Thailand,97.635,8.591111111,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/West_of_Eden
Waterfall wall,,Thailand,98.36557388,7.590282107,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Waterfall_wall
Honeymoon Bay,,Thailand,97.63978958,8.565319962,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Similan/Hide_Away_Bay
HTMS Kut,,Thailand,100.8016667,12.95166667,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/HTMS_Kut
Koh Man Wichai,,Thailand,100.7311111,12.89222222,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Eastern_Gulf/Koh_Man_Wichai
Banana Bay,,Thailand,98.32622051,7.500855198,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Banana_Bay
Aow Leuk,,Thailand,99.84072447,10.07129065,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Aow_Luek
Three Rocks,,Thailand,99.81679916,10.08303707,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Three_Rocks
Koh Bida Nai,,Thailand,98.76777649,7.65778669,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Koh_Bida_Nai
Ashitol Bay,,Thailand,98.32533002,7.514683115,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Racha_Islands/Ashitol_Bay
Crab Island,,Thailand,98.28545094,7.819719877,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Crap_Island
Karon Beach,,Thailand,98.29219401,7.828823576,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phuket/Karon_Beach
Laem Thian,,Thailand,99.85516548,10.09140296,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Laem_Thian
Tanote Bay,,Thailand,99.84855652,10.08422014,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Tanote_Bay
Green Rock,,Thailand,99.81190681,10.12866655,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Green_Rock
Hin pee wee,,Thailand,99.8015213,10.10957056,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/Hin_pee_wee
Palong Wall,,Thailand,98.76408577,7.696574662,https://www.wannadive.net/spot/Asia/Thailand/Andaman_Sea/Koh_Phi_Phi/Palong_Wall
Koh Ma,,Thailand,99.97708333,9.8034,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Samui/Koh_Ma
White Rock,,Thailand,99.81453333,10.10883333,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Tao/White_Rock
Koh Mai Si Lek,,Thailand,102.5100833,11.71446667,https://www.wannadive.net/spot/Asia/Thailand/Gulf_of_Thailand/Koh_Chang/Koh_Mai_Si_Lek
